Xfoil polar. Reynolds number fixed. Mach  number fixed,,,,,,
Polar key,xf-ht05-il-50000,,,,,
Airfoil,ht05-il,,,,,
Reynolds number,50000,,,,,
Ncrit,9,,,,,
Mach,0,,,,,
Max Cl/Cd,19.1774,,,,,
Max Cl/Cd alpha,2.75,,,,,
Url,http://airfoiltools.com/polar/csv?polar=xf-ht05-il-50000,,,,,
,,,,,,
Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.5,-0.6933,0.09726,0.09062,0.0385,1,0.2748
-7.25,-0.6955,0.09383,0.08726,0.0374,1,0.2874
-7,-0.6905,0.08997,0.0834,0.0371,1,0.302
-6.75,-0.6829,0.08605,0.07949,0.0376,1,0.3179
-6.5,-0.6825,0.083,0.07649,0.0365,1,0.3412
-6.25,-0.6734,0.07941,0.07292,0.039,1,0.3695
-5.75,-0.6242,0.05143,0.04329,-0.0061,1,0.1412
-5.5,-0.6037,0.04659,0.0381,-0.0069,1,0.1399
-5.25,-0.5813,0.04186,0.03285,-0.0074,1,0.1374
-5,-0.5568,0.03726,0.0276,-0.0077,1,0.1347
-4.75,-0.5311,0.03361,0.02331,-0.0075,1,0.1374
-4.5,-0.506,0.03099,0.02034,-0.007,1,0.149
-4.25,-0.4783,0.02815,0.01689,-0.0064,1,0.1581
-4,-0.4523,0.02607,0.01471,-0.0057,1,0.1763
-3.75,-0.4253,0.02409,0.01251,-0.0049,1,0.2019
-3.5,-0.399,0.02233,0.01077,-0.0041,1,0.2427
-3.25,-0.3724,0.02049,0.00922,-0.0031,1,0.3037
-3,-0.347,0.01869,0.00798,-0.0019,1,0.4042
-2.75,-0.3286,0.01713,0.00737,0.0012,1,0.5604
-2.5,-0.2469,0.01476,0.00569,-0.0066,1,1
-2.25,-0.2219,0.01462,0.00511,-0.0062,1,1
-2,-0.1971,0.01452,0.00467,-0.0056,1,1
-1.75,-0.1725,0.01443,0.00431,-0.005,1,1
-1.5,-0.1478,0.01436,0.00399,-0.0043,1,1
-1.25,-0.1232,0.0143,0.00375,-0.0036,1,1
-1,-0.0986,0.01425,0.00356,-0.0029,1,1
-0.75,-0.0739,0.01422,0.00342,-0.0022,1,1
-0.5,-0.0493,0.01419,0.00331,-0.0014,1,1
-0.25,-0.0246,0.01418,0.00325,-0.0007,1,1
0,0.0001,0.01417,0.00323,0,1,1
0.25,0.0247,0.01418,0.00325,0.0007,1,1
0.5,0.0494,0.01419,0.00331,0.0014,1,1
0.75,0.074,0.01422,0.00342,0.0022,1,1
1,0.0987,0.01425,0.00356,0.0029,1,1
1.25,0.1233,0.0143,0.00375,0.0036,1,1
1.5,0.148,0.01436,0.00399,0.0043,1,1
1.75,0.1726,0.01443,0.00431,0.005,1,1
2,0.1972,0.01452,0.00467,0.0056,1,1
2.25,0.222,0.01462,0.00511,0.0062,1,1
2.5,0.2471,0.01476,0.00569,0.0066,1,1
2.75,0.3287,0.01714,0.00737,-0.0012,0.5596,1
3,0.3471,0.0187,0.00798,0.0019,0.4038,1
3.25,0.3725,0.0205,0.00922,0.0031,0.3035,1
3.5,0.3991,0.02234,0.01077,0.0041,0.2426,1
3.75,0.4255,0.0241,0.01252,0.0049,0.2018,1
4,0.4524,0.02606,0.0147,0.0057,0.176,1
4.25,0.4785,0.02817,0.01691,0.0064,0.1581,1
4.5,0.5061,0.03099,0.02034,0.007,0.1488,1
4.75,0.5313,0.03362,0.02333,0.0075,0.1372,1
5,0.557,0.03729,0.02763,0.0077,0.1348,1
5.25,0.5815,0.04191,0.03291,0.0074,0.1376,1
5.5,0.6039,0.04664,0.03816,0.0068,0.1399,1
5.75,0.6243,0.05149,0.04337,0.006,0.1412,1
6,0.6683,0.0761,0.06965,-0.0408,0.4005,1
6.25,0.6706,0.07918,0.07268,-0.0397,0.3682,1
6.75,0.6833,0.08609,0.07953,-0.0376,0.318,1
7,0.6912,0.09002,0.08345,-0.0371,0.3021,1
7.5,0.694,0.09731,0.09068,-0.0385,0.2748,1
7.75,0.6929,0.10089,0.09419,-0.0393,0.2638,1
8,0.7013,0.10529,0.09856,-0.0388,0.2542,1
8.25,0.7162,0.11028,0.10357,-0.0372,0.2416,1
8.5,0.7003,0.11196,0.10514,-0.0405,0.2329,1
8.75,0.7037,0.11596,0.1091,-0.0409,0.224,1
9,0.7166,0.12087,0.11401,-0.0396,0.2124,1
9.25,0.708,0.12302,0.11608,-0.042,0.2039,1
9.5,0.7148,0.12755,0.12059,-0.0421,0.197,1
