Xfoil polar. Reynolds number fixed. Mach  number fixed,,,,,,
Polar key,xf-naca2412-il-50000,,,,,
Airfoil,naca2412-il,,,,,
Reynolds number,50000,,,,,
Ncrit,9,,,,,
Mach,0,,,,,
Max Cl/Cd,32.5356,,,,,
Max Cl/Cd alpha,7.25,,,,,
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2412-il-50000,,,,,
,,,,,,
Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.5,-0.4124,0.09868,0.09109,-0.0085,1,0.3526
-8.25,-0.4121,0.09574,0.08821,-0.0081,1,0.3645
-7.75,-0.5569,0.07132,0.06409,-0.0348,1,0.1944
-7.5,-0.5864,0.06278,0.05529,-0.0376,1,0.1791
-7.25,-0.5842,0.05855,0.05097,-0.0368,1,0.1769
-7,-0.5854,0.05412,0.0463,-0.0361,1,0.1759
-6.75,-0.5839,0.04991,0.04175,-0.0352,1,0.1761
-6.5,-0.5787,0.04598,0.03741,-0.0342,1,0.1769
-6.25,-0.5695,0.04233,0.03327,-0.0332,1,0.178
-6,-0.5571,0.03904,0.02937,-0.0321,1,0.1801
-5.75,-0.539,0.03725,0.02771,-0.0308,1,0.1865
-5.5,-0.5221,0.03502,0.025,-0.0297,1,0.1945
-5.25,-0.5027,0.03319,0.02312,-0.0286,1,0.2026
-5,-0.4827,0.0314,0.02102,-0.0277,1,0.2144
-4.75,-0.462,0.03,0.01947,-0.0267,1,0.2296
-4.5,-0.4411,0.02879,0.01829,-0.0256,1,0.2477
-4.25,-0.4199,0.02773,0.01724,-0.0246,1,0.2698
-4,-0.3983,0.02669,0.01619,-0.0237,1,0.2964
-3.75,-0.3765,0.02576,0.01532,-0.0228,1,0.3281
-3.5,-0.3545,0.02487,0.01462,-0.0218,1,0.3646
-3.25,-0.332,0.02402,0.01394,-0.0209,1,0.4107
-3,-0.3108,0.02326,0.01352,-0.0195,1,0.4653
-2.75,-0.2902,0.02263,0.01326,-0.0179,1,0.533
-2.5,-0.2718,0.02208,0.01312,-0.0155,1,0.6126
-2.25,-0.2578,0.0216,0.01314,-0.0116,1,0.7057
-2,-0.2485,0.02133,0.01336,-0.0057,1,0.8198
-1.75,-0.1469,0.02166,0.01342,-0.0186,1,1
-1.5,-0.1502,0.02143,0.01292,-0.0162,1,1
-1.25,-0.1389,0.0216,0.01282,-0.0154,1,1
-1,-0.1244,0.02191,0.0129,-0.0148,1,1
-0.75,-0.1086,0.02233,0.01312,-0.0144,1,1
-0.5,-0.0922,0.02284,0.01344,-0.0142,1,1
-0.25,-0.0756,0.02341,0.01387,-0.014,1,1
0,-0.0589,0.02406,0.01437,-0.0139,1,1
0.25,-0.0109,0.02515,0.01529,-0.0196,0.988,1
0.5,0.045,0.0263,0.0163,-0.0263,0.9727,1
0.75,0.0927,0.02724,0.01713,-0.0315,0.9559,1
1,0.1375,0.0281,0.01792,-0.0359,0.939,1
1.25,0.1811,0.02891,0.01867,-0.0399,0.9222,1
1.5,0.2231,0.02966,0.01938,-0.0434,0.9055,1
1.75,0.2633,0.03035,0.02005,-0.0464,0.8888,1
2,0.3025,0.03099,0.02069,-0.0491,0.8722,1
2.25,0.3408,0.03158,0.0213,-0.0514,0.8557,1
2.5,0.3785,0.03212,0.02188,-0.0534,0.8391,1
2.75,0.4157,0.03261,0.02241,-0.0552,0.8227,1
3,0.4528,0.03304,0.0229,-0.0568,0.8062,1
3.25,0.4905,0.03336,0.02329,-0.0582,0.7897,1
3.5,0.5281,0.03358,0.02359,-0.0593,0.7732,1
3.75,0.5639,0.03371,0.02382,-0.0598,0.7566,1
4,0.599,0.03375,0.02396,-0.06,0.7398,1
4.25,0.6342,0.03367,0.024,-0.0599,0.7228,1
4.5,0.67,0.03344,0.02387,-0.0596,0.7056,1
4.75,0.7067,0.03304,0.02359,-0.0591,0.6881,1
5,0.7429,0.03256,0.02322,-0.0583,0.6701,1
5.25,0.7613,0.03315,0.02391,-0.0562,0.6481,1
5.5,0.7935,0.03277,0.02364,-0.0549,0.6273,1
5.75,0.8345,0.03161,0.02252,-0.0537,0.6057,1
6,0.8567,0.03159,0.02258,-0.0512,0.5785,1
6.25,0.8858,0.03097,0.02197,-0.049,0.5498,1
6.5,0.9139,0.03048,0.02143,-0.0468,0.5195,1
6.75,0.9384,0.03029,0.02118,-0.0444,0.4869,1
7,0.9598,0.03027,0.02111,-0.0418,0.4512,1
7.25,0.9816,0.03017,0.02079,-0.0391,0.4122,1
7.5,0.996,0.03062,0.0211,-0.036,0.3698,1
7.75,1.0111,0.03129,0.02146,-0.033,0.3273,1
8,1.0252,0.03245,0.02238,-0.0304,0.2889,1
8.25,1.0412,0.03394,0.02364,-0.0282,0.2576,1
8.5,1.0592,0.03571,0.02527,-0.0266,0.2334,1
8.75,1.0779,0.03769,0.02726,-0.0252,0.2149,1
9,1.0969,0.03979,0.0294,-0.0239,0.2003,1
9.25,1.1165,0.04201,0.03167,-0.0229,0.1886,1
9.5,1.1354,0.04445,0.03424,-0.0217,0.1797,1
9.75,1.1471,0.04737,0.03747,-0.02,0.1731,1
10,1.1591,0.04997,0.04031,-0.0183,0.1663,1
10.25,1.1743,0.05308,0.04351,-0.0172,0.1611,1
10.5,1.1677,0.05686,0.04785,-0.0142,0.1591,1
10.75,1.1563,0.06085,0.05228,-0.0113,0.1573,1
11,1.1391,0.0651,0.05688,-0.0084,0.1562,1
11.25,1.1121,0.06964,0.06171,-0.0054,0.1562,1
11.5,1.076,0.07509,0.06736,-0.0035,0.1575,1
11.75,1.0357,0.08206,0.07449,-0.0039,0.1595,1
12,1.0001,0.09021,0.08272,-0.0064,0.1613,1
12.25,0.8261,0.12916,0.12142,-0.0343,0.1942,1
12.5,0.8419,0.13272,0.12503,-0.0334,0.1921,1
